Stations,Annual,"Winter
(Dec 2013 - Feb 2014)","Pre-monsoon
(Mar - May)","Monsoon
(Jun - Sep)","Post-monsoon
(Oct - Nov)",,,,,,,,,,,,,,,
,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,,,,,,,,,,
,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal
Baitadi,22,X,7.5,X,18.9,X,4.7,X,22.9,X,8.1,X,24.5,X,9.5,X,21.7,X,7.5,X
Dadeldhura,21.7,1.1,10.8,0,16.3,1.3,4.2,-0.7,23.5,0.5,11.4,-0.4,25.8,1.5,17.3,0.7,21.1,1,10.2,0.3
Sundarpur,29.6,-0.4,17,0.5,21.2,-1.6,9.1,1,33.9,-0.2,17.2,-0.3,34.1,0.3,25.3,0.4,29.2,-0.2,16.2,1.1
Darchula,27.5,0.2,12.9,-0.1,19.4,-0.8,6.1,0.7,29.8,-0.4,13.6,-0.6,32.8,0.7,20.8,-0.1,28,1.5,11.3,-0.4
Bajura,23.2,X,10.8,X,16.4,X,4.2,X,25.4,X,11.1,X,28.3,X,18.4,X,22.8,X,9.6,X
Dhangadhi,30.1,-0.1,16.7,0,21.7,-1.3,9.4,1.2,34.6,0.1,16.9,-0.8,34.9,1.3,24.9,-0.2,29.3,-0.3,15.5,-0.1
Mangalsen,X,X,X,X,X,X,X,X,29.4,X,15.5,X,30.2,X,20.2,X,24.3,X,13.6,X
Dipayal ( Doti ),30.7,0.6,15,0.6,23.5,0.1,6.8,0.8,33.7,0.4,15.2,0,35.5,1.2,24,0.9,30,0.6,14,0.6
Jumla,21.6,1.2,3.8,0,15.9,0.9,-4.1,0.1,22.2,0.8,3.6,-0.3,26.3,1.3,14.4,0.3,21.9,1.6,1.3,-0.1
Gam Shree Nagar,X,X,X,X,18.1,X,7.1,X,X,X,X,X,X,X,X,X,X,X,X,X
Magma,X,X,X,X,X,X,X,X,24.2,X,6,X,29.2,X,9.2,X,22.2,X,5.3,X
Dunai,19.5,-3.3,7.6,-0.3,8.2,X,-0.7,-0.9,22.5,-2.1,7.5,-0.1,27.9,0,16.9,0.1,19.6,-2,6.7,-0.5
Dailekh,25.2,1.1,13.4,1.2,18.9,1.8,6.9,0.6,29.2,1.5,14.5,0.4,28.8,0.1,19.6,2.3,23.9,1.1,12.6,1.6
Jajarkot,26.5,X,X,X,21.6,X,7.2,X,28.9,X,14.4,X,29.4,X,20.7,X,26,X,X,X
Surkhet,28.9,1.3,14.7,0,22.3,1.1,6.3,-0.2,32.6,1.2,15.7,-0.5,32.9,1.8,23.2,0.4,27.9,1.2,13.4,0.3
Nepalgunj,30.9,0.6,17.3,0,22.4,-0.2,9.7,0.8,36,1.2,17.3,-0.8,35.8,1.9,25.7,0.4,29.2,-0.6,16.5,-0.5
Libang Gaun,25.2,X,10.8,X,19.1,X,4.8,X,28.4,X,12,X,29,X,17.8,X,24.3,X,8.6,X
Bijuwar Tar,X,X,X,X,23.4,X,8.2,X,32.5,X,15.2,X,X,X,X,X,X,X,X,X
Salyan Bazar,26.2,1.7,14,0.7,20.7,1.1,8,0.9,28.8,1.7,14.9,0.2,29,1.8,19.9,1.1,26.5,2,13,0.7
Chaurjhari Tar,29.8,1.6,13.9,-0.3,21.5,-0.2,6.6,0.1,33.2,0.9,13.8,-1.2,33.7,1.3,22.3,0.2,30.9,4.3,13,-0.3
Dang ( Ghorai ),28.7,1.3,15.4,0.4,22.2,1,7.7,0.7,32.7,1.3,17,0,32.1,1.9,23,0.4,27.7,0.9,14.1,0.7
Jomsom,17.2,0,4.9,0.2,11.3,0,-1.1,0.6,17.9,-0.5,4.3,-0.3,23,0.5,13.4,0.8,16.4,0.1,3.1,-0.4
Baglung,26.5,-1.3,14.6,0.3,20.8,-1.8,7.6,0.3,29.7,-0.4,15.3,0.3,30.4,-0.9,21.4,0.3,25.1,-2.3,14.1,0.4
Kusma,28.7,0.7,14.4,-0.5,23.3,1.1,7.3,-0.9,31.3,0.9,15.4,-0.8,32.3,1.1,20.8,-0.6,27.9,-0.2,14.3,0.5
Tansen,26,1.9,X,X,19.7,1,8.8,0.1,29.3,2.6,16.5,0.4,29.5,2.5,20.5,0.5,25.5,1.4,X,X
Bhairahawa Airport,30.5,-0.1,18.1,0,21.6,-1.9,9.8,-0.1,35.5,0.9,18.4,-1,34.7,1,26.2,0.7,30.2,-0.3,17.8,0.4
Dumkauli,30.1,-0.1,X,X,22.2,-1.7,11,0.8,34.8,0.9,19,-0.1,34.1,0.8,25.2,-0.1,29.2,-0.5,X,X
Khanchikot,20.8,1,12.1,0,15.4,0.8,6.8,0.3,23.2,1.3,13.8,0.2,24.2,1,17,-0.1,20.5,0.8,11,-0.6
Taulihawa,30.1,-0.8,X,X,21.1,-2.9,9.6,-0.9,35.5,0.2,17.7,-1.4,33.7,-0.1,X,X,30.1,-0.6,16.8,-1.3
Tamghas,23.5,1.4,11.7,-0.2,19,2.8,5.5,-0.1,26.1,1.5,12.7,-0.2,26.9,1,18,0,21.9,0.4,10.4,-0.7
Simari,31.1,1.1,18.4,X,19.9,-2.7,8.9,X,38,3.5,23.1,X,36.4,2.3,24.9,X,30.1,1.4,16.7,X
Khudi Bazar,X,X,X,X,22.4,1.3,8.4,0.7,30.2,1.2,16.2,0.6,X,X,X,X,X,X,X,X
Pokhara Airport,27.1,0.7,15.2,0.3,21,0.1,7.8,-0.3,30,1.1,15.8,0.2,31.1,1.1,21.9,0.5,26.2,0.4,15.1,0.8
Syangja,29.5,2.7,14.8,0.7,22.7,1.4,8.8,1.7,32.2,3.2,14.7,0.3,35.1,4.5,21.5,0.4,28.1,1.5,14.2,0.5
Gorkha,X,X,X,X,21.2,0.6,9.1,-0.2,31.7,1.4,17.4,0.7,X,X,X,X,26.3,-0.1,15.7,1.2
Lumle,20.7,0.8,11.7,0.2,15.1,0.6,6,0.2,22.2,0.4,12.3,0.1,23.6,0.2,17.3,0.4,21.6,2,11.2,0.1
Khairinitar,30.6,1.9,16.8,0.5,22.7,0,9.9,0.6,33.3,1.6,16.7,0.4,33.6,1.1,23.6,0.3,32.8,5,16.9,0.5
Rampur,X,X,17,-0.1,X,X,9.7,0.8,34,-0.3,17,-0.9,33.7,0,25.1,0.2,30.2,0,16.1,-0.5
Hetauda N.F.I.,X,X,16.7,0.7,X,X,9.3,1,32.7,0.3,17.3,0.1,32.5,0.5,23.8,0.6,28.1,-0.2,16.4,1.1
Simara,30.5,0.4,16.8,-0.6,22.6,-1.3,8.8,-0.1,35.6,2,16.7,-1.9,33.9,0.9,25.3,0.1,30.2,0,16.4,-0.5
Gaur,X,X,16.7,-2,X,X,7.9,-2.7,X,X,18.9,-0.6,X,X,23.6,-1.9,X,X,16.3,-3
Nuwakot,27,-0.3,15.9,-0.2,21.8,-0.2,9.3,-0.5,30.2,0.1,17.4,0,30.6,0.1,21.8,0.4,25.5,-1.3,15,-0.7
Dhading,X,X,X,X,22.1,X,7.5,X,32.8,X,23.1,X,X,X,X,X,X,X,X,X
Godavari,23.2,1.5,X,X,18.1,1.8,X,X,25.7,1.5,X,X,26.7,1.4,X,X,22.2,1.2,X,X
Bahrabise,X,X,14,X,22.3,X,7.1,X,30.8,X,14.5,X,X,X,21.1,X,31,X,13.2,X
Kathmandu,25.3,0,12.3,1,19.4,-0.8,4.8,1.2,28.3,0.9,12.5,0.6,29.4,0.9,20.2,0.7,24,-1.2,11.9,1.3
Panchkhal,X,X,X,X,22.9,0.8,3.8,-2,X,X,X,X,X,X,X,X,27.6,0.1,13.7,0.8
Nagarkot,19.2,0.1,10,0.6,14.7,0.9,4.5,0.7,21.7,0.3,10.7,0.6,22.2,-0.2,15.4,0.5,18.3,-0.7,9.4,0.5
Dhunche,X,X,X,X,12.8,X,3.7,X,22.4,X,11.5,X,X,X,X,X,18.8,X,9.5,X
Khokana,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,24.1,X,9,X
Jiri,20.8,0.7,X,X,16,0.8,-0.2,0.4,22.6,1,X,X,24.5,0.7,16.4,0.3,20.1,0.3,6.8,0.6
Sindhuli Gadhi,X,X,X,X,23.7,0.9,8.6,-0.5,X,X,X,X,31.9,1.4,23.6,1,28.5,0.5,16,0.1
Janakpur,30.6,0.2,19.1,0.3,22.8,-1.6,11.2,0.8,34.8,1.3,19.9,-0.2,33.8,0.9,26.5,0.6,30.8,0.3,18.7,-0.1
Jalesore,X,X,X,X,22.9,-1.2,11.1,0,X,X,25.8,4.9,X,X,X,X,31.1,1.1,20,0.4
Manthali,31,X,17.5,X,25.7,X,10.2,X,34.1,X,20.9,X,34.7,X,23.6,X,29.3,X,15.3,X
Okhaldhunga,22,0.7,11.7,-1,16.6,0.5,5.2,-1.4,24.7,1.4,12.4,-1.2,25.1,0.6,17.1,-0.7,21.6,0.2,12.1,-0.8
Lahan,X,X,X,X,X,X,X,X,X,X,X,X,32.9,0.2,X,X,X,X,X,X
Rajbiraj,X,X,19.5,1.1,X,X,11.5,0.9,X,X,21.7,1.8,32.9,-0.3,25.6,0.6,X,X,19.2,0.9
Chainpur ( east ),25,0.5,13.1,-0.4,19.5,0.1,7,-0.9,27.7,1,13.6,-0.8,28.7,1.2,18.6,-0.1,24,-0.1,13.2,0.2
Dhankuta,25.1,1.4,14.7,0.4,20.2,1.4,8.3,0.1,27.1,2,15.8,0.4,28.1,1.2,20.7,0.9,24.9,1.1,14,0.2
Dharan,29.4,-0.2,19.7,0.6,23.7,-1,12.8,-1,32.9,0.8,21.5,0.7,32.1,0,24.9,1.6,29.1,-0.5,19.6,1.2
Terhathum,24.4,X,11.2,X,19.3,X,5,X,25.4,X,12.1,X,27.8,X,17,X,25.2,X,10.7,X
Biratnagar,30.4,0.4,18.7,0.4,23.7,-1,11.1,0.9,34,1.3,20,0.2,33.3,0.9,25.4,0.1,30.8,0.4,18.5,0.3
Taplejung,21.9,1.5,11.7,0.5,16.5,1.5,5.5,0.3,23.3,1.6,12.2,0.3,26.3,1.7,18,0.6,21.4,1,11.3,0.7
Ilam,X,X,X,X,X,X,X,X,24.4,0,14.5,-1.8,26.5,1,16.8,-2.9,24.4,1.4,12.7,-3.1
Phidim,26.5,0.8,15.1,0.6,21.3,0.6,8.5,0.8,28.8,1.2,16,0.5,30,1.2,21.6,0.6,26.1,0.1,14.3,0.3
Gaida (Kankai),30.6,0,17.6,0.5,25.2,-0.5,9.6,0.2,33.4,0.8,18.5,0,33.3,0.3,24.4,0.9,30.4,-0.6,17.8,0.9
